num_event,num_match,event,equipe1,equipe2
1,1,buts,0,2
2,1,carte jaune,4,2
3,1,carte rouge,0,0
4,1,faute,15,15
5,1,hors jeu,3,4
6,1,corner,1,3
7,1,penaltiy,0,1
8,2,buts,6,2
9,2,carte jaune,0,2
10,2,carte rouge,0,0
11,2,faute,9,14
12,2,hors jeu,2,2
13,2,corner,8,0
14,2,penaltiy,0,1
15,3,buts,0,2
16,3,carte jaune,2,1
17,3,carte rouge,0,0
18,3,faute,13,13
19,3,hors jeu,2,1
20,3,corner,6,7
21,3,penaltiy,0,0
22,4,buts,1,1
23,4,carte jaune,4,2
24,4,carte rouge,0,0
25,4,faute,15,10
26,4,hors jeu,1,1
27,4,corner,5,3
28,4,penaltiy,0,1
29,5,buts,1,2
30,5,carte jaune,0,6
31,5,carte rouge,0,0
32,5,faute,7,21
33,5,hors jeu,10,1
34,5,corner,9,2
35,5,penaltiy,1,0
36,6,buts,0,0
37,6,carte jaune,2,1
38,6,carte rouge,0,0
39,6,faute,9,10
40,6,hors jeu,1,1
41,6,corner,11,9
42,6,penaltiy,0,0
43,7,buts,0,0
44,7,carte jaune,2,1
45,7,carte rouge,0,0
46,7,faute,14,16
47,7,hors jeu,3,0
48,7,corner,6,5
49,7,penaltiy,0,0
50,8,buts,4,1
51,8,carte jaune,0,3
52,8,carte rouge,0,0
53,8,faute,5,11
54,8,hors jeu,0,0
55,8,corner,8,1
56,8,penaltiy,0,0
57,9,buts,0,0
58,9,carte jaune,1,0
59,9,carte rouge,0,0
60,9,faute,17,11
61,9,hors jeu,0,1
62,9,corner,0,5
63,9,penaltiy,0,0
64,10,buts,1,2
65,10,carte jaune,0,0
66,10,carte rouge,0,0
67,10,faute,6,14
68,10,hors jeu,4,4
69,10,corner,6,6
70,10,penaltiy,1,0
71,11,buts,7,0
72,11,carte jaune,0,2
73,11,carte rouge,0,0
74,11,faute,8,12
75,11,hors jeu,3,7
76,11,corner,5,0
77,11,penaltiy,1,0
78,12,buts,1,0
79,12,carte jaune,3,2
80,12,carte rouge,0,0
81,12,faute,11,14
82,12,hors jeu,0,1
83,12,corner,4,4
84,12,penaltiy,0,0
85,13,buts,1,0
86,13,carte jaune,2,1
87,13,carte rouge,0,0
88,13,faute,12,10
89,13,hors jeu,2,2
90,13,corner,11,5
91,13,penaltiy,0,0
92,14,buts,0,0
93,14,carte jaune,1,1
94,14,carte rouge,0,0
95,14,faute,7,10
96,14,hors jeu,1,0
97,14,corner,4,3
98,14,penaltiy,0,0
99,15,buts,3,2
100,15,carte jaune,2,4
101,15,carte rouge,0,0
102,15,faute,14,19
103,15,hors jeu,1,1
104,15,corner,3,3
105,15,penaltiy,1,0
106,16,buts,2,0
107,16,carte jaune,0,3
108,16,carte rouge,0,0
109,16,faute,7,12
110,16,hors jeu,1,0
111,16,corner,6,4
112,16,penaltiy,0,0
113,17,buts,0,2
114,17,carte jaune,1,2
115,17,carte rouge,1,0
116,17,faute,9,10
117,17,hors jeu,2,2
118,17,corner,2,7
119,17,penaltiy,0,0
120,18,buts,1,3
121,18,carte jaune,3,3
122,18,carte rouge,0,0
123,18,faute,7,12
124,18,hors jeu,4,3
125,18,corner,6,7
126,18,penaltiy,0,0
127,19,buts,1,1
128,19,carte jaune,0,1
129,19,carte rouge,0,0
130,19,faute,15,12
131,19,hors jeu,1,4
132,19,corner,2,5
133,19,penaltiy,0,0
134,20,buts,0,0
135,20,carte jaune,0,0
136,20,carte rouge,0,0
137,20,faute,9,15
138,20,hors jeu,1,0
139,20,corner,3,7
140,20,penaltiy,0,0
141,21,buts,0,1
142,21,carte jaune,3,0
143,21,carte rouge,0,0
144,21,faute,16,15
145,21,hors jeu,3,0
146,21,corner,5,2
147,21,penaltiy,0,0
148,22,buts,2,0
149,22,carte jaune,3,2
150,22,carte rouge,0,0
151,22,faute,18,15
152,22,hors jeu,0,0
153,22,corner,4,5
154,22,penaltiy,0,0
155,23,buts,2,1
156,23,carte jaune,1,2
157,23,carte rouge,0,0
158,23,faute,4,9
159,23,hors jeu,1,1
160,23,corner,6,4
161,23,penaltiy,0,0
162,24,buts,2,0
163,24,carte jaune,1,4
164,24,carte rouge,0,0
165,24,faute,15,19
166,24,hors jeu,2,4
167,24,corner,4,2
168,24,penaltiy,0,0
169,25,buts,0,1
170,25,carte jaune,3,3
171,25,carte rouge,0,0
172,25,faute,22,9
173,25,hors jeu,0,2
174,25,corner,5,0
175,25,penaltiy,0,0
176,26,buts,0,2
177,26,carte jaune,1,1
178,26,carte rouge,0,0
179,26,faute,10,14
180,26,hors jeu,3,3
181,26,corner,9,1
182,26,penaltiy,0,0
183,27,buts,4,1
184,27,carte jaune,2,2
185,27,carte rouge,0,0
186,27,faute,13,5
187,27,hors jeu,1,3
188,27,corner,5,2
189,27,penaltiy,0,0
190,28,buts,1,1
191,28,carte jaune,1,3
192,28,carte rouge,0,0
